intern_id,name,gender,domain,college,internship_start_date,week_number,week_start_date,tasks_assigned,tasks_completed,task_completion_rate,attendance,late_submissions,mentor_rating,performance_score
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,14,2024-08-18,15,6,40.0,96.22,3,3.9,68.27
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,15,2024-08-18,14,5,35.71,77.75,1,3.08,56.09
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,16,2024-08-18,5,4,80.0,78.47,3,2.6,71.14
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,17,2024-08-18,5,3,60.0,62.68,4,4.54,70.04
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,18,2024-08-18,15,13,86.67,74.39,1,3.85,80.08
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,19,2024-08-18,15,6,40.0,85.05,0,3.7,63.72
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,20,2024-08-18,13,5,38.46,77.28,4,2.89,55.91
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,1,2024-07-20,14,10,71.43,88.85,1,4.76,83.79
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,2,2024-07-20,6,4,66.67,96.77,5,3.03,73.88
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,3,2024-07-20,15,8,53.33,66.44,0,3.74,63.7
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,4,2024-07-20,12,9,75.0,91.55,4,2.78,74.14
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,5,2024-07-20,5,4,80.0,79.38,3,4.73,84.19
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,6,2024-07-20,6,6,100.0,69.97,5,3.42,81.51
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,7,2024-07-20,15,13,86.67,94.68,4,3.05,81.37
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,8,2024-07-20,6,6,100.0,93.86,1,4.83,97.14
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,9,2024-07-20,11,8,72.73,77.31,2,4.39,78.62
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,10,2024-07-20,12,11,91.67,70.26,1,3.91,81.21
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,11,2024-07-20,12,4,33.33,84.45,0,3.87,61.89
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,12,2024-07-20,7,6,85.71,91.84,3,4.58,89.32
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,13,2024-07-20,14,4,28.57,84.51,4,3.55,58.08
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,14,2024-07-20,9,8,88.89,64.88,3,2.72,71.34
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,15,2024-07-20,15,11,73.33,91.65,3,3.48,77.71
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,16,2024-07-20,11,10,90.91,69.31,4,3.61,78.82
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,17,2024-07-20,11,4,36.36,77.46,4,4.4,64.18
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,18,2024-07-20,9,9,100.0,63.23,1,4.86,88.13
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,19,2024-07-20,8,8,100.0,64.54,5,2.81,76.22
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,2024-07-20,20,2024-07-20,8,3,37.5,77.76,1,2.51,53.39
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,1,2024-09-20,14,5,35.71,83.39,1,3.81,62.16
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,2,2024-09-20,12,10,83.33,82.93,5,2.65,74.11
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,3,2024-09-20,9,8,88.89,63.19,3,3.71,76.77
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,4,2024-09-20,13,12,92.31,93.42,1,2.98,82.83
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,5,2024-09-20,11,3,27.27,85.81,2,2.54,51.89
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,6,2024-09-20,11,6,54.55,94.28,1,2.91,67.56
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,7,2024-09-20,6,4,66.67,89.0,2,3.67,75.39
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,8,2024-09-20,13,9,69.23,61.15,5,2.66,62.0
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,9,2024-09-20,6,4,66.67,72.03,4,4.3,74.08
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,10,2024-09-20,11,10,90.91,84.42,1,3.63,83.47
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,11,2024-09-20,5,3,60.0,86.82,3,3.74,72.49
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,12,2024-09-20,7,7,100.0,95.2,1,3.28,88.24
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,13,2024-09-20,11,4,36.36,85.6,4,3.54,61.46
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,14,2024-09-20,11,4,36.36,76.21,3,4.25,62.91
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,15,2024-09-20,8,4,50.0,73.42,4,2.76,58.59
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,16,2024-09-20,7,7,100.0,96.01,5,3.72,91.12
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,17,2024-09-20,8,5,62.5,86.86,1,4.54,78.3
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,18,2024-09-20,15,7,46.67,76.88,3,3.98,65.61
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,19,2024-09-20,15,10,66.67,66.49,3,4.69,74.76
5,Zoya Khan,Female,Digital Marketing,VIT,2024-09-20,20,2024-09-20,11,7,63.64,65.2,2,3.4,65.42
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,1,2024-08-23,7,7,100.0,68.09,0,3.87,83.65
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,2,2024-08-23,8,3,37.5,86.32,0,4.23,66.28
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,3,2024-08-23,9,8,88.89,99.7,5,4.82,94.39
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,4,2024-08-23,11,3,27.27,63.72,5,4.28,55.7
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,5,2024-08-23,10,6,60.0,93.17,2,4.43,78.53
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,6,2024-08-23,15,4,26.67,82.66,0,3.53,56.65
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,7,2024-08-23,9,7,77.78,89.51,1,3.55,79.27
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,8,2024-08-23,7,5,71.43,91.36,1,3.72,78.3
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,9,2024-08-23,9,7,77.78,89.35,4,2.79,74.66
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,10,2024-08-23,9,3,33.33,72.41,2,4.67,63.08
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,11,2024-08-23,15,11,73.33,73.08,4,2.56,66.62
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,12,2024-08-23,12,12,100.0,64.88,4,2.68,75.54
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,13,2024-08-23,6,3,50.0,66.61,0,3.3,59.78
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,14,2024-08-23,7,3,42.86,79.95,1,2.6,56.73
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,15,2024-08-23,7,4,57.14,91.02,4,3.28,69.84
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,16,2024-08-23,7,4,57.14,85.75,5,2.7,64.78
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,17,2024-08-23,15,15,100.0,88.01,0,4.26,91.96
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,18,2024-08-23,10,7,70.0,74.86,4,4.09,75.0
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,19,2024-08-23,14,7,50.0,92.83,4,3.09,66.39
6,Tejas Raut,Male,Python Developer,BITS,2024-08-23,20,2024-08-23,15,11,73.33,71.66,1,2.75,67.33
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,1,2024-06-11,15,6,40.0,77.11,5,3.93,62.71
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,2,2024-06-11,10,3,30.0,67.02,0,3.4,52.51
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,3,2024-06-11,14,7,50.0,65.88,2,4.13,64.54
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,4,2024-06-11,5,4,80.0,80.05,1,3.84,79.06
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,5,2024-06-11,8,4,50.0,77.31,5,3.96,66.95
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,6,2024-06-11,8,6,75.0,99.24,5,2.74,76.21
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,7,2024-06-11,15,15,100.0,93.77,3,3.49,89.07
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,8,2024-06-11,11,4,36.36,83.21,3,2.95,57.21
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,9,2024-06-11,11,3,27.27,87.61,2,4.13,61.97
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,10,2024-06-11,5,4,80.0,82.43,0,3.83,79.71
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,11,2024-06-11,10,6,60.0,88.98,1,3.97,74.51
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,12,2024-06-11,15,4,26.67,88.3,4,2.52,52.28
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,13,2024-06-11,11,7,63.64,80.39,3,3.07,67.99
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,14,2024-06-11,9,5,55.56,66.15,3,3.74,64.51
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,15,2024-06-11,9,9,100.0,60.26,1,4.58,85.56
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,16,2024-06-11,5,5,100.0,90.37,4,4.39,93.45
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,17,2024-06-11,13,13,100.0,86.04,2,4.9,95.21
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,18,2024-06-11,11,9,81.82,74.72,4,2.89,72.48
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,19,2024-06-11,6,5,83.33,75.64,0,4.35,82.12
7,Niharika Shetty,Female,Python Developer,IIT,2024-06-11,20,2024-06-11,12,5,41.67,89.72,5,3.08,62.06
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,1,2024-09-05,14,10,71.43,98.96,0,2.88,75.54
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,2,2024-09-05,5,3,60.0,99.99,3,3.69,76.14
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,3,2024-09-05,11,10,90.91,94.36,3,4.87,93.89
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,4,2024-09-05,7,7,100.0,91.53,2,3.62,89.18
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,5,2024-09-05,8,6,75.0,68.7,5,4.46,77.37
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,6,2024-09-05,6,5,83.33,71.88,4,3.77,77.52
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,7,2024-09-05,8,7,87.5,84.58,2,3.87,83.59
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,8,2024-09-05,9,8,88.89,93.47,4,3.88,86.88
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,9,2024-09-05,10,4,40.0,70.75,3,4.77,65.84
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,10,2024-09-05,7,3,42.86,72.2,3,4.8,67.6
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,11,2024-09-05,7,5,71.43,99.13,3,3.59,79.85
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,12,2024-09-05,13,3,23.08,78.23,3,3.48,53.58
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,13,2024-09-05,14,14,100.0,97.28,4,3.19,88.32
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,14,2024-09-05,15,11,73.33,98.2,4,3.2,77.99
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,15,2024-09-05,13,10,76.92,67.27,2,4.34,76.99
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,16,2024-09-05,15,5,33.33,99.59,5,2.62,58.93
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,17,2024-09-05,7,6,85.71,99.19,3,4.58,91.52
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,18,2024-09-05,14,12,85.71,79.62,2,4.8,86.97
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,19,2024-09-05,7,4,57.14,85.1,0,3.77,71.01
8,Shreya Dongre,Female,Cloud Computing,IIT,2024-09-05,20,2024-09-05,15,8,53.33,66.95,4,3.16,60.38
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,1,2024-10-11,5,4,80.0,80.95,5,4.79,85.02
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,2,2024-10-11,14,10,71.43,73.19,0,3.69,72.67
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,3,2024-10-11,12,7,58.33,83.73,3,4.42,74.97
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,4,2024-10-11,11,10,90.91,69.81,1,2.83,74.29
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,5,2024-10-11,8,8,100.0,71.3,4,3.26,80.95
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,6,2024-10-11,8,5,62.5,81.03,0,3.41,69.77
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,7,2024-10-11,8,5,62.5,73.58,0,3.06,65.43
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,8,2024-10-11,8,7,87.5,91.28,4,2.53,77.56
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,9,2024-10-11,8,7,87.5,90.27,4,3.12,80.8
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,10,2024-10-11,10,5,50.0,85.13,1,3.38,65.82
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,11,2024-10-11,8,7,87.5,61.91,1,3.69,75.71
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,12,2024-10-11,12,3,25.0,62.19,2,2.7,44.86
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,13,2024-10-11,7,4,57.14,70.16,1,4.17,68.92
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,14,2024-10-11,11,5,45.45,84.53,5,4.33,69.52
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,15,2024-10-11,12,12,100.0,61.4,0,3.49,79.36
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,16,2024-10-11,7,5,71.43,96.49,2,3.36,77.68
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,17,2024-10-11,9,6,66.67,75.31,5,3.61,70.92
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,18,2024-10-11,8,3,37.5,96.45,2,4.21,69.2
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,19,2024-10-11,8,3,37.5,65.69,5,3.85,57.81
9,Advait Menon,Male,Cloud Computing,NMIMS,2024-10-11,20,2024-10-11,8,6,75.0,79.98,2,3.37,74.21
10,Keshav Roy,Male,AI,SRM,2024-07-24,1,2024-07-24,10,7,70.0,71.22,3,4.05,73.67
10,Keshav Roy,Male,AI,SRM,2024-07-24,2,2024-07-24,15,8,53.33,73.13,3,3.27,62.89
10,Keshav Roy,Male,AI,SRM,2024-07-24,3,2024-07-24,7,6,85.71,93.49,2,4.36,88.49
10,Keshav Roy,Male,AI,SRM,2024-07-24,4,2024-07-24,8,6,75.0,77.77,1,2.65,69.23
10,Keshav Roy,Male,AI,SRM,2024-07-24,5,2024-07-24,5,5,100.0,81.28,4,3.15,83.28
10,Keshav Roy,Male,AI,SRM,2024-07-24,6,2024-07-24,5,5,100.0,62.52,0,3.89,82.1
10,Keshav Roy,Male,AI,SRM,2024-07-24,7,2024-07-24,10,7,70.0,84.62,5,3.35,73.49
10,Keshav Roy,Male,AI,SRM,2024-07-24,8,2024-07-24,9,9,100.0,89.71,5,3.7,89.11
10,Keshav Roy,Male,AI,SRM,2024-07-24,9,2024-07-24,10,4,40.0,81.17,1,3.13,59.13
10,Keshav Roy,Male,AI,SRM,2024-07-24,10,2024-07-24,14,9,64.29,71.26,2,3.37,67.31
10,Keshav Roy,Male,AI,SRM,2024-07-24,11,2024-07-24,8,6,75.0,75.26,2,4.12,77.3
10,Keshav Roy,Male,AI,SRM,2024-07-24,12,2024-07-24,12,5,41.67,90.99,3,4.43,70.55
10,Keshav Roy,Male,AI,SRM,2024-07-24,13,2024-07-24,6,3,50.0,60.02,3,3.12,56.73
10,Keshav Roy,Male,AI,SRM,2024-07-24,14,2024-07-24,8,4,50.0,82.31,2,4.07,69.11
10,Keshav Roy,Male,AI,SRM,2024-07-24,15,2024-07-24,9,9,100.0,90.5,5,3.87,90.37
10,Keshav Roy,Male,AI,SRM,2024-07-24,16,2024-07-24,15,13,86.67,87.14,4,2.5,75.81
10,Keshav Roy,Male,AI,SRM,2024-07-24,17,2024-07-24,15,5,33.33,89.67,4,3.23,59.61
10,Keshav Roy,Male,AI,SRM,2024-07-24,18,2024-07-24,7,6,85.71,97.27,2,4.13,88.24
10,Keshav Roy,Male,AI,SRM,2024-07-24,19,2024-07-24,14,10,71.43,61.92,1,3.6,68.75
10,Keshav Roy,Male,AI,SRM,2024-07-24,20,2024-07-24,13,4,30.77,80.84,4,4.1,61.16
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,1,2024-11-21,11,3,27.27,60.87,1,4.39,55.51
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,2,2024-11-21,15,6,40.0,88.09,3,2.67,58.45
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,3,2024-11-21,12,8,66.67,86.35,4,2.89,69.91
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,4,2024-11-21,5,5,100.0,78.36,0,4.05,87.81
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,5,2024-11-21,14,5,35.71,71.98,0,4.54,63.12
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,6,2024-11-21,6,6,100.0,88.43,2,4.7,94.73
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,7,2024-11-21,8,8,100.0,63.07,5,4.74,87.36
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,8,2024-11-21,7,5,71.43,74.44,4,3.62,72.62
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,9,2024-11-21,11,10,90.91,98.21,3,3.71,88.09
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,10,2024-11-21,10,4,40.0,66.1,2,3.69,57.97
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,11,2024-11-21,15,12,80.0,85.89,4,3.7,79.97
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,12,2024-11-21,7,7,100.0,76.56,1,4.93,92.55
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,13,2024-11-21,6,4,66.67,75.75,5,2.64,65.23
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,14,2024-11-21,11,7,63.64,77.0,2,2.91,66.02
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,15,2024-11-21,14,3,21.43,82.63,0,3.38,53.64
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,16,2024-11-21,9,9,100.0,75.66,0,3.64,84.54
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,17,2024-11-21,10,4,40.0,97.69,0,3.71,67.57
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,18,2024-11-21,6,4,66.67,74.63,4,2.93,66.64
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,19,2024-11-21,5,4,80.0,76.24,4,3.86,78.03
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,2024-11-21,20,2024-11-21,13,7,53.85,71.71,3,2.63,58.83
