Intern_ID,Name,Gender,Domain,College,Internship_Start_Date,Week_Number,Week_Start_Date,Tasks_Assigned,Tasks_Completed,Task_Completion_Rate (%),Attendance (%),Late_Submissions,Mentor_Rating (1-5),Performance_Score
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,12,8/18/2024,11,9,81.82,65.38,2,2.65,68.24
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,13,8/18/2024,9,6,66.67,77.19,1,2.8,66.62
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,14,8/18/2024,15,6,40,96.22,3,3.9,68.27
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,15,8/18/2024,14,5,35.71,77.75,1,3.08,56.09
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,16,8/18/2024,5,4,80,78.47,3,2.6,71.14
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,17,8/18/2024,5,3,60,62.68,4,4.54,70.04
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,18,8/18/2024,15,13,86.67,74.39,1,3.85,80.08
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,19,8/18/2024,15,6,40,85.05,0,3.7,63.72
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,20,8/18/2024,13,5,38.46,77.28,4,2.89,55.91
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,1,7/20/2024,14,10,71.43,88.85,1,4.76,83.79
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,2,7/20/2024,6,4,66.67,96.77,5,3.03,73.88
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,3,7/20/2024,15,8,53.33,66.44,0,3.74,63.7
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,4,7/20/2024,12,9,75,91.55,4,2.78,74.14
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,5,7/20/2024,5,4,80,79.38,3,4.73,84.19
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,6,7/20/2024,6,6,100,69.97,5,3.42,81.51
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,7,7/20/2024,15,13,86.67,94.68,4,3.05,81.37
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,8,7/20/2024,6,6,100,93.86,1,4.83,97.14
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,9,7/20/2024,11,8,72.73,77.31,2,4.39,78.62
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,10,7/20/2024,12,11,91.67,70.26,1,3.91,81.21
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,11,7/20/2024,12,4,33.33,84.45,0,3.87,61.89
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,12,7/20/2024,7,6,85.71,91.84,3,4.58,89.32
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,13,7/20/2024,14,4,28.57,84.51,4,3.55,58.08
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,14,7/20/2024,9,8,88.89,64.88,3,2.72,71.34
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,15,7/20/2024,15,11,73.33,91.65,3,3.48,77.71
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,16,7/20/2024,11,10,90.91,69.31,4,3.61,78.82
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,17,7/20/2024,11,4,36.36,77.46,4,4.4,64.18
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,18,7/20/2024,9,9,100,63.23,1,4.86,88.13
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,19,7/20/2024,8,8,100,64.54,5,2.81,76.22
4,Ashutosh Bhos,Male,Cloud Computing,Manipal,7/20/2024,20,7/20/2024,8,3,37.5,77.76,1,2.51,53.39
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,1,9/20/2024,14,5,35.71,83.39,1,3.81,62.16
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,2,9/20/2024,12,10,83.33,82.93,5,2.65,74.11
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,3,9/20/2024,9,8,88.89,63.19,3,3.71,76.77
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,4,9/20/2024,13,12,92.31,93.42,1,2.98,82.83
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,5,9/20/2024,11,3,27.27,85.81,2,2.54,51.89
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,6,9/20/2024,11,6,54.55,94.28,1,2.91,67.56
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,7,9/20/2024,6,4,66.67,89,2,3.67,75.39
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,8,9/20/2024,13,9,69.23,61.15,5,2.66,62
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,9,9/20/2024,6,4,66.67,72.03,4,4.3,74.08
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,10,9/20/2024,11,10,90.91,84.42,1,3.63,83.47
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,11,9/20/2024,5,3,60,86.82,3,3.74,72.49
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,12,9/20/2024,7,7,100,95.2,1,3.28,88.24
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,13,9/20/2024,11,4,36.36,85.6,4,3.54,61.46
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,14,9/20/2024,11,4,36.36,76.21,3,4.25,62.91
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,15,9/20/2024,8,4,50,73.42,4,2.76,58.59
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,16,9/20/2024,7,7,100,96.01,5,3.72,91.12
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,17,9/20/2024,8,5,62.5,86.86,1,4.54,78.3
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,18,9/20/2024,15,7,46.67,76.88,3,3.98,65.61
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,19,9/20/2024,15,10,66.67,66.49,3,4.69,74.76
5,Zoya Khan,Female,Digital Marketing,VIT,9/20/2024,20,9/20/2024,11,7,63.64,65.2,2,3.4,65.42
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,1,8/23/2024,7,7,100,68.09,0,3.87,83.65
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,2,8/23/2024,8,3,37.5,86.32,0,4.23,66.28
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,3,8/23/2024,9,8,88.89,99.7,5,4.82,94.39
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,4,8/23/2024,11,3,27.27,63.72,5,4.28,55.7
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,5,8/23/2024,10,6,60,93.17,2,4.43,78.53
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,6,8/23/2024,15,4,26.67,82.66,0,3.53,56.65
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,7,8/23/2024,9,7,77.78,89.51,1,3.55,79.27
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,8,8/23/2024,7,5,71.43,91.36,1,3.72,78.3
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,9,8/23/2024,9,7,77.78,89.35,4,2.79,74.66
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,10,8/23/2024,9,3,33.33,72.41,2,4.67,63.08
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,11,8/23/2024,15,11,73.33,73.08,4,2.56,66.62
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,12,8/23/2024,12,12,100,64.88,4,2.68,75.54
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,13,8/23/2024,6,3,50,66.61,0,3.3,59.78
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,14,8/23/2024,7,3,42.86,79.95,1,2.6,56.73
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,15,8/23/2024,7,4,57.14,91.02,4,3.28,69.84
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,16,8/23/2024,7,4,57.14,85.75,5,2.7,64.78
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,17,8/23/2024,15,15,100,88.01,0,4.26,91.96
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,18,8/23/2024,10,7,70,74.86,4,4.09,75
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,19,8/23/2024,14,7,50,92.83,4,3.09,66.39
6,Tejas Raut,Male,Python Developer,BITS,8/23/2024,20,8/23/2024,15,11,73.33,71.66,1,2.75,67.33
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,1,6/11/2024,15,6,40,77.11,5,3.93,62.71
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,2,6/11/2024,10,3,30,67.02,0,3.4,52.51
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,3,6/11/2024,14,7,50,65.88,2,4.13,64.54
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,4,6/11/2024,5,4,80,80.05,1,3.84,79.06
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,5,6/11/2024,8,4,50,77.31,5,3.96,66.95
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,6,6/11/2024,8,6,75,99.24,5,2.74,76.21
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,7,6/11/2024,15,15,100,93.77,3,3.49,89.07
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,8,6/11/2024,11,4,36.36,83.21,3,2.95,57.21
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,9,6/11/2024,11,3,27.27,87.61,2,4.13,61.97
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,10,6/11/2024,5,4,80,82.43,0,3.83,79.71
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,11,6/11/2024,10,6,60,88.98,1,3.97,74.51
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,12,6/11/2024,15,4,26.67,88.3,4,2.52,52.28
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,13,6/11/2024,11,7,63.64,80.39,3,3.07,67.99
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,14,6/11/2024,9,5,55.56,66.15,3,3.74,64.51
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,15,6/11/2024,9,9,100,60.26,1,4.58,85.56
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,16,6/11/2024,5,5,100,90.37,4,4.39,93.45
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,17,6/11/2024,13,13,100,86.04,2,4.9,95.21
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,18,6/11/2024,11,9,81.82,74.72,4,2.89,72.48
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,19,6/11/2024,6,5,83.33,75.64,0,4.35,82.12
7,Niharika Shetty,Female,Python Developer,IIT,6/11/2024,20,6/11/2024,12,5,41.67,89.72,5,3.08,62.06
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,1,9/5/2024,14,10,71.43,98.96,0,2.88,75.54
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,2,9/5/2024,5,3,60,99.99,3,3.69,76.14
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,3,9/5/2024,11,10,90.91,94.36,3,4.87,93.89
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,4,9/5/2024,7,7,100,91.53,2,3.62,89.18
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,5,9/5/2024,8,6,75,68.7,5,4.46,77.37
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,6,9/5/2024,6,5,83.33,71.88,4,3.77,77.52
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,7,9/5/2024,8,7,87.5,84.58,2,3.87,83.59
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,8,9/5/2024,9,8,88.89,93.47,4,3.88,86.88
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,9,9/5/2024,10,4,40,70.75,3,4.77,65.84
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,10,9/5/2024,7,3,42.86,72.2,3,4.8,67.6
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,11,9/5/2024,7,5,71.43,99.13,3,3.59,79.85
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,12,9/5/2024,13,3,23.08,78.23,3,3.48,53.58
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,13,9/5/2024,14,14,100,97.28,4,3.19,88.32
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,14,9/5/2024,15,11,73.33,98.2,4,3.2,77.99
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,15,9/5/2024,13,10,76.92,67.27,2,4.34,76.99
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,16,9/5/2024,15,5,33.33,99.59,5,2.62,58.93
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,17,9/5/2024,7,6,85.71,99.19,3,4.58,91.52
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,18,9/5/2024,14,12,85.71,79.62,2,4.8,86.97
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,19,9/5/2024,7,4,57.14,85.1,0,3.77,71.01
8,Shreya Dongre,Female,Cloud Computing,IIT,9/5/2024,20,9/5/2024,15,8,53.33,66.95,4,3.16,60.38
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,1,10/11/2024,5,4,80,80.95,5,4.79,85.02
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,2,10/11/2024,14,10,71.43,73.19,0,3.69,72.67
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,3,10/11/2024,12,7,58.33,83.73,3,4.42,74.97
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,4,10/11/2024,11,10,90.91,69.81,1,2.83,74.29
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,5,10/11/2024,8,8,100,71.3,4,3.26,80.95
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,6,10/11/2024,8,5,62.5,81.03,0,3.41,69.77
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,7,10/11/2024,8,5,62.5,73.58,0,3.06,65.43
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,8,10/11/2024,8,7,87.5,91.28,4,2.53,77.56
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,9,10/11/2024,8,7,87.5,90.27,4,3.12,80.8
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,10,10/11/2024,10,5,50,85.13,1,3.38,65.82
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,11,10/11/2024,8,7,87.5,61.91,1,3.69,75.71
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,12,10/11/2024,12,3,25,62.19,2,2.7,44.86
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,13,10/11/2024,7,4,57.14,70.16,1,4.17,68.92
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,14,10/11/2024,11,5,45.45,84.53,5,4.33,69.52
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,15,10/11/2024,12,12,100,61.4,0,3.49,79.36
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,16,10/11/2024,7,5,71.43,96.49,2,3.36,77.68
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,17,10/11/2024,9,6,66.67,75.31,5,3.61,70.92
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,18,10/11/2024,8,3,37.5,96.45,2,4.21,69.2
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,19,10/11/2024,8,3,37.5,65.69,5,3.85,57.81
9,Advait Menon,Male,Cloud Computing,NMIMS,10/11/2024,20,10/11/2024,8,6,75,79.98,2,3.37,74.21
10,Keshav Roy,Male,AI,SRM,7/24/2024,1,7/24/2024,10,7,70,71.22,3,4.05,73.67
10,Keshav Roy,Male,AI,SRM,7/24/2024,2,7/24/2024,15,8,53.33,73.13,3,3.27,62.89
10,Keshav Roy,Male,AI,SRM,7/24/2024,3,7/24/2024,7,6,85.71,93.49,2,4.36,88.49
10,Keshav Roy,Male,AI,SRM,7/24/2024,4,7/24/2024,8,6,75,77.77,1,2.65,69.23
10,Keshav Roy,Male,AI,SRM,7/24/2024,5,7/24/2024,5,5,100,81.28,4,3.15,83.28
10,Keshav Roy,Male,AI,SRM,7/24/2024,6,7/24/2024,5,5,100,62.52,0,3.89,82.1
10,Keshav Roy,Male,AI,SRM,7/24/2024,7,7/24/2024,10,7,70,84.62,5,3.35,73.49
10,Keshav Roy,Male,AI,SRM,7/24/2024,8,7/24/2024,9,9,100,89.71,5,3.7,89.11
10,Keshav Roy,Male,AI,SRM,7/24/2024,9,7/24/2024,10,4,40,81.17,1,3.13,59.13
10,Keshav Roy,Male,AI,SRM,7/24/2024,10,7/24/2024,14,9,64.29,71.26,2,3.37,67.31
10,Keshav Roy,Male,AI,SRM,7/24/2024,11,7/24/2024,8,6,75,75.26,2,4.12,77.3
10,Keshav Roy,Male,AI,SRM,7/24/2024,12,7/24/2024,12,5,41.67,90.99,3,4.43,70.55
10,Keshav Roy,Male,AI,SRM,7/24/2024,13,7/24/2024,6,3,50,60.02,3,3.12,56.73
10,Keshav Roy,Male,AI,SRM,7/24/2024,14,7/24/2024,8,4,50,82.31,2,4.07,69.11
10,Keshav Roy,Male,AI,SRM,7/24/2024,15,7/24/2024,9,9,100,90.5,5,3.87,90.37
10,Keshav Roy,Male,AI,SRM,7/24/2024,16,7/24/2024,15,13,86.67,87.14,4,2.5,75.81
10,Keshav Roy,Male,AI,SRM,7/24/2024,17,7/24/2024,15,5,33.33,89.67,4,3.23,59.61
10,Keshav Roy,Male,AI,SRM,7/24/2024,18,7/24/2024,7,6,85.71,97.27,2,4.13,88.24
10,Keshav Roy,Male,AI,SRM,7/24/2024,19,7/24/2024,14,10,71.43,61.92,1,3.6,68.75
10,Keshav Roy,Male,AI,SRM,7/24/2024,20,7/24/2024,13,4,30.77,80.84,4,4.1,61.16
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,1,11/21/2024,11,3,27.27,60.87,1,4.39,55.51
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,2,11/21/2024,15,6,40,88.09,3,2.67,58.45
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,3,11/21/2024,12,8,66.67,86.35,4,2.89,69.91
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,4,11/21/2024,5,5,100,78.36,0,4.05,87.81
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,5,11/21/2024,14,5,35.71,71.98,0,4.54,63.12
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,6,11/21/2024,6,6,100,88.43,2,4.7,94.73
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,7,11/21/2024,8,8,100,63.07,5,4.74,87.36
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,8,11/21/2024,7,5,71.43,74.44,4,3.62,72.62
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,9,11/21/2024,11,10,90.91,98.21,3,3.71,88.09
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,10,11/21/2024,10,4,40,66.1,2,3.69,57.97
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,11,11/21/2024,15,12,80,85.89,4,3.7,79.97
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,12,11/21/2024,7,7,100,76.56,1,4.93,92.55
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,13,11/21/2024,6,4,66.67,75.75,5,2.64,65.23
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,14,11/21/2024,11,7,63.64,77,2,2.91,66.02
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,15,11/21/2024,14,3,21.43,82.63,0,3.38,53.64
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,16,11/21/2024,9,9,100,75.66,0,3.64,84.54
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,17,11/21/2024,10,4,40,97.69,0,3.71,67.57
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,18,11/21/2024,6,4,66.67,74.63,4,2.93,66.64
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,19,11/21/2024,5,4,80,76.24,4,3.86,78.03
11,Sanya Bharadwaj,Female,Cyber Security,NMIMS,11/21/2024,20,11/21/2024,13,7,53.85,71.71,3,2.63,58.83
12,Nishant Rao,Male,Data Science,VIT,8/18/2024,1,8/18/2024,6,6,100,80.66,2,3.54,85.44
12,Nishant Rao,Male,Data Science,VIT,8/18/2024,2,8/18/2024,14,6,42.86,82,5,3.56,63.1
